699af9dbf11,GitHub,Pius,[DOCS] Fix obsolete Slack setup info (#57834),Tue Nov 24 12:09:00 2020 -0500
2220a4bdd47,GitHub,Tal Levy,reduce version bounds for spatial usage info to 7.11 (#65438),Tue Nov 24 08:54:29 2020 -0800
8b2b7fa80f1,GitHub,Andras Palinkas,{S,E}QL: Fix optimization of `NotEquals` in conjunctions (#65331),Tue Nov 24 11:40:04 2020 -0500
af2f084bff4,GitHub,Julie Tibshirani,Remove unnecessary references to index version. (#65402),Tue Nov 24 08:25:22 2020 -0800
d088171a872,GitHub,Alan Woodward,Use ValueFetcher when loading text snippets to highlight (#63572),Tue Nov 24 16:09:37 2020 +0000
b9ee0b3b48c,GitHub,James Rodewig,[DOCS] EQL: Add lookup support to `:` operator (#65262),Tue Nov 24 10:48:41 2020 -0500
f6e0d74e247,GitHub,David Roberts,[ML] Adjust assertion in Grok pattern creation code (#65421),Tue Nov 24 15:26:32 2020 +0000
7505d7d61ca,GitHub,Costin Leau,QL: Combine multiple equal queries into In (#65353),Tue Nov 24 17:20:46 2020 +0200
cac855c87f3,GitHub,Jay Modi,Fix watcher search template test after #65332 (#65379),Tue Nov 24 08:16:37 2020 -0700
273b7bfe042,GitHub,bellengao,[DOCS] Correct the url in delete-component-template doc (#65349),Tue Nov 24 09:48:17 2020 -0500
a7863808d94,Rory Hunter,Rory Hunter,Adjust PluginInfo.LICENSED_PLUGINS_SUPPORT value after backport,Tue Nov 24 14:41:17 2020 +0000
1fb43f4fa5c,GitHub,Andras Palinkas,QL: Stop duplicating children in InnerAggregate (#65401),Tue Nov 24 09:38:08 2020 -0500
af9515c77c5,GitHub,Costin Leau,QL: Improve expression normalization (#65419),Tue Nov 24 16:18:13 2020 +0200
e10b1ba498b,GitHub,István Zoltán Szabó,[DOCS] Fixes documentation link in rollup.json. (#65408),Tue Nov 24 14:33:20 2020 +0100
f0e1102a30f,GitHub,Alan Woodward,SourceValueFetcher should check all possible source fields (#65375),Tue Nov 24 12:02:32 2020 +0000
6800f3ba03a,GitHub,Henning Andersen,Autoscaling: add nodes to capacity response (#64915),Tue Nov 24 11:17:03 2020 +0100
6854974c1ce,GitHub,Christoph Büscher,Reactivate deactivated integration test (#65388),Tue Nov 24 10:48:14 2020 +0100
fc72b39a178,GitHub,David Roberts,[ML] Adjusting soft_limit description (#65383),Tue Nov 24 09:35:07 2020 +0000
cf148cda5be,GitHub,Jim Ferenczi,Fix handling of null values in geo_point (#65307),Tue Nov 24 10:22:41 2020 +0100
